CID,DRKG_ID,CanonicalSMILES,P_NP
636374,CHEMBL1200989,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC,1
225609,CHEMBL1201010,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,1
11693,CHEMBL1201027,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],0
240767,CHEMBL1201064,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)OC(=O)C,1
68848,CHEMBL12314,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)NS(=O)(=O)N(C)C,1
5523,CHEMBL1237044,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,1
9279,CHEMBL1240,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],0
441405,CHEMBL124881,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,1
47811,CHEMBL1275,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,1
2794,CHEMBL1292,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,0
2630,CHEMBL1331919,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,0
9577995,CHEMBL134641,CON=C(C#N)C1CN2CCC1CC2,1
636397,CHEMBL1398373,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OC6CCCCO6,0
180,CHEMBL14253,CC(=O)C,0
3022645,CHEMBL14370,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,1
4541,CHEMBL1494,C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F,1
6436,CHEMBL1504,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,1
20469,CHEMBL1586,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,1
60700,CHEMBL1607,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,0
5280954,CHEMBL1668,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,1
62882,CHEMBL1671,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,1
3255,CHEMBL1671887,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0
115208,CHEMBL169703,CN1C(CN=C(C2=CC=CC=C21)C3=CC=CC=C3F)CNC(=O)C4=CSC=C4,1
43815,CHEMBL1708,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,1
6461,CHEMBL1724,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],0
2769,CHEMBL1729,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,1
4894,CHEMBL1735158,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,1
12460,CHEMBL1744,CC1C(OCCN1C)C2=CC=CC=C2,1
1546,CHEMBL17639,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,1
11548,CHEMBL1768,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],0
10296414,CHEMBL183460,CC1=NC2=C(C=C1)C(=CC=C2)OCCN3CCC(CC3)CC4=CC5=C(C=C4)OCC(=O)N5,0
4452,CHEMBL20734,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,1
65615,CHEMBL2104176,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2N=CC(=C4)Cl)CCO,1
184841,CHEMBL2105926,C1C2CN(CC2C1C3=CC=C(C=C3)F)CCN4C(=O)C5=CC=CC=C5NC4=O,1
67763,CHEMBL2106468,CCN(CC)C(=O)CNC(=O)C1=CC(=C(C(=C1)OC)OC)OC,1
3028194,CHEMBL2146126,[Li],0
39860,CHEMBL2218896,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,1
156333,CHEMBL2261102,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,1
87653,CHEMBL25414,C1=CSC(=N1)CCN,1
3035905,CHEMBL260374,C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,0
214350,CHEMBL266510,COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F,1
5265,CHEMBL267930,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,1
127382,CHEMBL269366,CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C,0
50287,CHEMBL269646,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,0
6603915,CHEMBL286607,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F,0
3510,CHEMBL289469,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,1
5268,CHEMBL300555,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4,1
54682505,CHEMBL31741,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,0
9903970,CHEMBL3187365,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,1
637863,CHEMBL320642,C1CC2NS(=O)(=O)C3=CC=CC=C3N2C1,0
10358392,CHEMBL326418,CC(CF)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O,1
6918553,CHEMBL329383,COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Br)N3CCNCC3,0
5361092,CHEMBL33986,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,1
5064,CHEMBL34,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,1
55752,CHEMBL35057,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,1
836,CHEMBL351042,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,0
3450,CHEMBL360055,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,0
107926,CHEMBL366947,CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,0
9950176,CHEMBL373011,C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)O,0
9908880,CHEMBL373250,CC(C)(C)C1=CC2=NN=C(N2N=C1OCC3=NC=NN3C)C4=C(C=CC(=C4)F)F,0
9669,CHEMBL397705,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,1
310378,CHEMBL407217,C1=CC(=C(C=C1C(F)(F)F)NC(=O)NC2=C(C=CC(=C2)Cl)O)Cl,0
60824,CHEMBL416578,COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCCC(C(F)(F)F)O,1
5281878,CHEMBL42055,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,1
4112,CHEMBL426,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0
5312149,CHEMBL431298,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4,0
30623,CHEMBL444186,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,0
1345,CHEMBL481537,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,1
9796408,CHEMBL506999,C1CN(CCN1)C2=NC(=C(C=C2)C(F)(F)F)Cl,1
8969,CHEMBL537669,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,0
49381,CHEMBL63756,CN1CCN(CC1)C2=NC3=C(CC4=CC=CC=C42)C=CC(=C3)F,1
3033637,CHEMBL653,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,1
65820,CHEMBL67654,CC(C)(C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)O,0
65637,CHEMBL69679,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CCC3=CC(=C(C=C3)OC)OC,1
2215,CHEMBL70099,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,1
44561,CHEMBL754,C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],1
68186,CHEMBL79834,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F,1
7550,CHEMBL812,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],1
56971,CHEMBL8412,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4,1
5311096,CHEMBL85606,C1CC(CCC1CCN2CCC3=C(C2)C=CC(=C3)C#N)NC(=O)C4=CC=NC5=CC=CC=C45,1
5372683,CHEMBL87385,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,1
5978,CHEMBL90555,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,1
4106,CHEMBL93240,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,1
34755,DB00118,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,1
305,DB00122,C[N+](C)(C)CCO,1
54670067,DB00126,C(C(C1C(=C(C(=O)O1)O)O)O)O,1
750,DB00145,C(C(=O)O)N,1
6305,DB00150,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,1
135398658,DB00158,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,1
14985,DB00163,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,1
54687,DB00175,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,0
60846,DB00177,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,1
3007,DB00182,CC(CC1=CC=CC=C1)N,1
89594,DB00184,CN1CCCC1C2=CN=CC=C2,1
3958,DB00186,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,1
5281077,DB00189,CCC(C=CCl)(C#C)O,1
34359,DB00190,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0
33741,DB00193,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,1
2369,DB00195,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,1
3365,DB00196,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,0
12560,DB00199,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0
2519,DB00201,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
71329,DB00204,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,1
4993,DB00205,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
5770,DB00206,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,1
5472,DB00208,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1
4679,DB00213,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,1
41781,DB00214,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,1
2771,DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1
64143,DB00220,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,0
3476,DB00222,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,1
5362440,DB00224,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,1
38521,DB00226,C1CCC2(CC1)OCC(O2)CN=C(N)N,0
53232,DB00227,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,0
3226,DB00228,C(C(OC(F)F)(F)F)(F)Cl,1
43708,DB00229,CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O,0
5486971,DB00230,CC(C)CC(CC(=O)O)CN,1
5391,DB00231,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,1
4121,DB00232,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,0
4649,DB00233,C1=CC(=C(C=C1N)O)C(=O)O,0
4197,DB00235,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,1
2479,DB00237,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,1
4463,DB00238,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,0
5311000,DB00240,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,1
2481,DB00241,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1
20279,DB00242,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,1
4075,DB00244,C1=CC(=C(C=C1N)C(=O)O)O,1
60854,DB00246,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,1
54746,DB00248,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,1
2955,DB00250,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1
441383,DB00251,CC(C)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl,0
1775,DB00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0
247839,DB00253,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,1
448537,DB00255,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0
2812,DB00257,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,0
135409400,DB00261,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3,1
2578,DB00262,C(CCl)NC(=O)N(CCCl)N=O,0
5344,DB00263,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,1
4171,DB00264,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1
54676038,DB00266,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,0
5095,DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,1
5284627,DB00273,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,0
42008,DB00274,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O,0
2153,DB00277,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0
3676,DB00281,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1
4674,DB00282,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,0
5656,DB00285,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,1
443958,DB00288,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,1
54841,DB00289,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,1
2708,DB00291,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0
667484,DB00292,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,1
5288826,DB00295,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,0
135398748,DB00299,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N,1
21319,DB00301,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,0
5526,DB00302,C1CC(CCC1CN)C(=O)O,1
5746,DB00305,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,0
2732,DB00310,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,0
4737,DB00312,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,0
3121,DB00313,CCCC(CCC)C(=O)O,0
60857,DB00315,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,0
1983,DB00316,CC(=O)NC1=CC=C(C=C1)O,0
123631,DB00317,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,0
5284371,DB00318,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,1
10531,DB00320,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,0
2160,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1
5790,DB00322,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,0
4659569,DB00323,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],0
9878,DB00324,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,1
5284570,DB00327,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,1
3715,DB00328,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
14052,DB00330,CCC(CO)NCCNC(CC)CO,0
4091,DB00331,CN(C)C(=N)N=C(N)N,1
4095,DB00333,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,1
135398745,DB00334,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,1
2249,DB00335,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0
4594,DB00338,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
1046,DB00339,C1=CN=C(C=N1)C(=O)N,1
2678,DB00341,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0
5405,DB00342,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,1
39186,DB00343,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,1
4976,DB00344,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,1
5576,DB00347,CC1(C(=O)N(C(=O)O1)C)C,1
2789,DB00349,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1
2723601,DB00352,C1=NC2=C(N1)C(=S)N=C(N2)N,0
6729,DB00354,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,1
2733,DB00356,C1=CC2=C(C=C1Cl)NC(=O)O2,1
2145,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,1
4046,DB00358,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,1
5215,DB00359,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1
135398737,DB00363,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,1
72474,DB00365,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,0
3162,DB00366,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,1
4205,DB00370,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,1
4064,DB00371,CCCC(C)(COC(=O)N)COC(=O)N,0
5440,DB00372,CCSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,1
33624,DB00373,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,1
5572,DB00376,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,1
4178,DB00379,CC1=C(C(=CC=C1)C)OCC(C)N,1
71384,DB00380,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,0
1935,DB00382,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,0
5546,DB00384,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0
4919,DB00387,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,1
31072,DB00389,CCOC(=O)N1C=CN(C1=S)C,1
2724385,DB00390,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0
5355,DB00391,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,0
3290,DB00392,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,1
21700,DB00394,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,1
